X,plot,treat,background,focal,num_comp,num_seeds,fruit_date,Tr,N_acwr,N_femi,N_homu,N_pler,N_saco,N_urli,Log_Seeds,Log_Comp,IsD,IsW
1588,504,D,HOMU,URLI,1,50.86363636,28-Apr,2,0,0,1,0,0,0,3.929148254882117,0,TRUE,FALSE
1589,504,D,HOMU,URLI,6,50.86363636,28-Apr,2,0,0,6,0,0,0,3.929148254882117,1.791759469228055,TRUE,FALSE
1590,505,D,URLI,URLI,84,25.43181818,28-Apr,2,0,0,0,0,0,84,3.236001074322172,4.430816798843313,TRUE,FALSE
1591,505,D,URLI,URLI,84,25.43181818,28-Apr,2,0,0,0,0,0,84,3.236001074322172,4.430816798843313,TRUE,FALSE
1592,505,D,URLI,URLI,84,25.43181818,28-Apr,2,0,0,0,0,0,84,3.236001074322172,4.430816798843313,TRUE,FALSE
1593,505,D,URLI,URLI,84,25.43181818,28-Apr,2,0,0,0,0,0,84,3.236001074322172,4.430816798843313,TRUE,FALSE
1594,505,D,URLI,URLI,84,25.43181818,28-Apr,2,0,0,0,0,0,84,3.236001074322172,4.430816798843313,TRUE,FALSE
1595,505,D,URLI,URLI,84,25.43181818,28-Apr,2,0,0,0,0,0,84,3.236001074322172,4.430816798843313,TRUE,FALSE
1596,506,W,SACO,URLI,6,864.6818182,28-Apr,1,0,0,0,0,6,0,6.762361599030853,1.791759469228055,FALSE,TRUE
1597,506,W,SACO,URLI,19,457.7727273,28-Apr,1,0,0,0,0,19,0,6.126372832349405,2.9444389791664403,FALSE,TRUE
1598,507,W,SACO,URLI,15,813.8181818,28-Apr,1,0,0,0,0,15,0,6.701736977171049,2.70805020110221,FALSE,TRUE
1599,507,W,PLER,URLI,7,101.7272727,28-Apr,1,0,0,0,7,0,0,4.622295435245459,1.9459101490553132,FALSE,TRUE
1600,510,W,URLI,URLI,45,50.86363636,28-Apr,1,0,0,0,0,0,45,3.929148254882117,3.8066624897703196,FALSE,TRUE
1601,512,D,URLI,URLI,23,10,28-Apr,2,0,0,0,0,0,23,2.302585092994046,3.1354942159291497,TRUE,FALSE
1602,515,D,SACO,URLI,65,25.43181818,28-Apr,2,0,0,0,0,65,0,3.236001074322172,4.174387269895637,TRUE,FALSE
1603,515,D,SACO,URLI,90,50.86363636,28-Apr,2,0,0,0,0,90,0,3.929148254882117,4.499809670330265,TRUE,FALSE
1604,515,D,SACO,URLI,90,25.43181818,28-Apr,2,0,0,0,0,90,0,3.236001074322172,4.499809670330265,TRUE,FALSE
1605,515,D,SACO,URLI,35,76.29545455,28-Apr,2,0,0,0,0,35,0,4.334613363121351,3.5553480614894135,TRUE,FALSE
1606,515,D,SACO,URLI,35,76.29545455,28-Apr,2,0,0,0,0,35,0,4.334613363121351,3.5553480614894135,TRUE,FALSE
1607,518,W,URLI,URLI,10,25.43181818,28-Apr,1,0,0,0,0,0,10,3.236001074322172,2.302585092994046,FALSE,TRUE
1608,518,W,URLI,URLI,10,25.43181818,28-Apr,1,0,0,0,0,0,10,3.236001074322172,2.302585092994046,FALSE,TRUE
1609,518,W,URLI,URLI,10,25.43181818,28-Apr,1,0,0,0,0,0,10,3.236001074322172,2.302585092994046,FALSE,TRUE
1610,518,W,URLI,URLI,10,25.43181818,28-Apr,1,0,0,0,0,0,10,3.236001074322172,2.302585092994046,FALSE,TRUE
1611,518,W,URLI,URLI,10,25.43181818,28-Apr,1,0,0,0,0,0,10,3.236001074322172,2.302585092994046,FALSE,TRUE
1612,518,W,URLI,URLI,10,25.43181818,28-Apr,1,0,0,0,0,0,10,3.236001074322172,2.302585092994046,FALSE,TRUE
1613,518,W,URLI,URLI,29,76.29545455,28-Apr,1,0,0,0,0,0,29,4.334613363121351,3.367295829986474,FALSE,TRUE
1614,518,W,URLI,URLI,29,25.43181818,28-Apr,1,0,0,0,0,0,29,3.236001074322172,3.367295829986474,FALSE,TRUE
1615,518,W,URLI,URLI,29,76.29545455,28-Apr,1,0,0,0,0,0,29,4.334613363121351,3.367295829986474,FALSE,TRUE
1616,518,W,URLI,URLI,29,76.29545455,28-Apr,1,0,0,0,0,0,29,4.334613363121351,3.367295829986474,FALSE,TRUE
1617,519,W,ACWR,URLI,36,50.86363636,28-Apr,1,36,0,0,0,0,0,3.929148254882117,3.58351893845611,FALSE,TRUE
1618,519,W,ACWR,URLI,13,25.43181818,28-Apr,1,13,0,0,0,0,0,3.236001074322172,2.5649493574615367,FALSE,TRUE
1619,519,W,ACWR,URLI,14,101.7272727,28-Apr,1,14,0,0,0,0,0,4.622295435245459,2.6390573296152584,FALSE,TRUE
1620,519,W,ACWR,URLI,14,76.29545455,28-Apr,1,14,0,0,0,0,0,4.334613363121351,2.6390573296152584,FALSE,TRUE
1621,520,W,ACWR,URLI,25,50.86363636,28-Apr,1,25,0,0,0,0,0,3.929148254882117,3.2188758248682006,FALSE,TRUE
1622,520,W,ACWR,URLI,40,10,28-Apr,1,40,0,0,0,0,0,2.302585092994046,3.6888794541139363,FALSE,TRUE
1623,522,D,URLI,URLI,2,25.43181818,28-Apr,2,0,0,0,0,0,2,3.236001074322172,0.6931471805599453,TRUE,FALSE
1624,522,D,URLI,URLI,2,76.29545455,28-Apr,2,0,0,0,0,0,2,4.334613363121351,0.6931471805599453,TRUE,FALSE
1625,522,D,URLI,URLI,32,25.43181818,28-Apr,2,0,0,0,0,0,32,3.236001074322172,3.4657359027997265,TRUE,FALSE
1626,522,D,URLI,URLI,32,25.43181818,28-Apr,2,0,0,0,0,0,32,3.236001074322172,3.4657359027997265,TRUE,FALSE
1627,522,D,URLI,URLI,32,25.43181818,28-Apr,2,0,0,0,0,0,32,3.236001074322172,3.4657359027997265,TRUE,FALSE
1628,522,D,URLI,URLI,32,25.43181818,28-Apr,2,0,0,0,0,0,32,3.236001074322172,3.4657359027997265,TRUE,FALSE
1629,522,D,URLI,URLI,32,25.43181818,28-Apr,2,0,0,0,0,0,32,3.236001074322172,3.4657359027997265,TRUE,FALSE
1630,522,D,URLI,URLI,32,127.1590909,28-Apr,2,0,0,0,0,0,32,4.845438986756272,3.4657359027997265,TRUE,FALSE
1631,522,D,URLI,URLI,32,127.1590909,28-Apr,2,0,0,0,0,0,32,4.845438986756272,3.4657359027997265,TRUE,FALSE
